name,email,license_number,total_trips,total_earnings,safety_score,on_time_delivery_rate,experience_years,rest_compliance_rate,avg_speed_profile,harsh_braking_events,harsh_acceleration_events,fuel_efficiency_score,route_adherence,customer_satisfaction,training_level,certifications,preferred_routes,fatigue_score,id
Mukamana Theophile,mukamana.theophile355@gov.rw,DL00001,151,44434.05,0.6415610324553307,0.7291561111198718,14.894425856402506,0.843778218602117,"{""highway"": 52.11809084864826, ""city"": 26.69185015794001, ""residential"": 49.19492024930169}",1,39,0.7705272100614738,0.8545638020201489,3.971437633410085,2,"[""Basic""]","[""R206"", ""R444"", ""R346""]",0.2950721401488306,1
Ntawukulilyayo Immaculee,ntawukulilyayo.immaculee462@gov.rw,DL00002,127,31795.86,0.5861313613857653,0.9436900271678478,10.516403003772961,0.8519036360780192,"{""highway"": 58.52844910939234, ""city"": 15.604079231989914, ""residential"": 44.38737565835549}",50,33,0.8930106771134465,0.7771894167732986,4.259393091695792,1,"[""Basic"", ""Advanced"", ""Hazardous Materials""]","[""R069"", ""R199"", ""R201""]",0.31258125897463707,2
Nshimiyimana Olivier,nshimiyimana.olivier107@irembo.rw,DL00003,94,11315.64,0.7622168345336522,0.8246148588293895,5.499709445039596,0.781961621370378,"{""highway"": 67.0941400451177, ""city"": 21.23455378717584, ""residential"": 33.57355237498866}",4,8,0.6336900452297085,0.8811941787582719,3.2050917276963267,2,"[""Basic"", ""Advanced""]","[""R251"", ""R360"", ""R140""]",0.3259417141348072,3
Nkurunziza Immaculee,nkurunziza.immaculee849@outlook.com,DL00004,183,42143.39,0.5346242344274938,0.8492832253053318,2.8008483958926726,0.9460736959125429,"{""highway"": 63.732551145126905, ""city"": 21.783472877228, ""residential"": 49.74629019496944}",43,21,0.7000721074121469,0.9178275868381467,3.234971795620777,4,"[""Basic"", ""Advanced""]","[""R440"", ""R429"", ""R235""]",0.11795545813288309,4
Mugisha Josephine,mugisha.josephine981@yahoo.com,DL00005,37,38859.54,0.5211764505414587,0.7666950271680183,1.7344935523417326,0.8820119496768349,"{""highway"": 50.429861702794945, ""city"": 18.36643856675999, ""residential"": 38.501920866468026}",26,19,0.8835409403673141,0.8335643504295305,3.075286511486082,4,"[""Basic"", ""Advanced""]","[""R016"", ""R430"", ""R451""]",0.34886561966996316,5
Niyibizi Olivier,niyibizi.olivier652@irembo.rw,DL00006,189,34035.40,0.9580073126993705,0.7404027745461703,3.83420217200763,0.8897670319196817,"{""highway"": 69.15038921585678, ""city"": 19.388779616364545, ""residential"": 34.13161727806447}",16,19,0.682841503865874,0.9252988284619935,3.5004636603123194,4,"[""Basic""]","[""R158"", ""R333"", ""R069""]",0.41491177912676913,6
Bizimana Jacqueline,bizimana.jacqueline328@irembo.rw,DL00007,151,41702.54,0.8572888410813214,0.7752089923900585,7.8397596507991345,0.998687810574586,"{""highway"": 66.32015532048625, ""city"": 21.403524215176105, ""residential"": 42.22969798527026}",44,31,0.9014723507326325,0.8421027212196661,4.276387023722246,2,"[""Basic"", ""Hazardous Materials""]","[""R321"", ""R142"", ""R333""]",0.44691417786843424,7
Habimana Theoneste,habimana.theoneste76@gmail.com,DL00008,105,18096.26,0.848298187036094,0.8433573750788512,9.593132872404984,0.7894231322691355,"{""highway"": 57.91686196387401, ""city"": 16.357490490367272, ""residential"": 34.04324618088543}",22,28,0.8157654159940644,0.8893834343869269,4.774320742902585,2,"[""Basic""]","[""R117"", ""R375"", ""R430""]",0.2077530981125738,8
Murenzi Odette,murenzi.odette139@outlook.com,DL00009,31,1882.72,0.8983450865366029,0.9195137428997613,13.448602560396955,0.7285404545911318,"{""highway"": 65.34920869059016, ""city"": 28.20949068323197, ""residential"": 45.36105489710023}",48,1,0.9318948046975795,0.805586762553657,4.909705057017721,3,"[""Basic""]","[""R005"", ""R420"", ""R054""]",0.3542978405284746,9
Umuhoza Clementine,umuhoza.clementine616@gmail.com,DL00010,95,17229.59,0.5490292411052055,0.7696558043171725,11.341349568157742,0.9374947025292434,"{""highway"": 51.1928513828126, ""city"": 16.389465275435672, ""residential"": 36.58043606825414}",26,35,0.7975438680793008,0.7764525842194285,4.344344064662703,4,"[""Basic"", ""Advanced"", ""Hazardous Materials""]","[""R272"", ""R439"", ""R263""]",0.2941795710600013,10
Iyamuremye Josephine,iyamuremye.josephine21@gov.rw,DL00011,190,36053.33,0.5661359551471009,0.8388484667482333,2.792643250054037,0.9741856751191598,"{""highway"": 57.172488124919624, ""city"": 26.9540611465958, ""residential"": 45.32360461557223}",22,36,0.8974599395564196,0.7869013318030174,3.8274693543516567,5,"[""Basic""]","[""R485"", ""R159"", ""R176""]",0.10719289298636198,11
Munyaneza Clementine,munyaneza.clementine58@gov.rw,DL00012,35,9339.36,0.642922805560393,0.9287519351308479,8.432438415625233,0.969598074360682,"{""highway"": 57.95494561906711, ""city"": 25.32840404680799, ""residential"": 31.498330452567565}",12,18,0.8023594854043868,0.7160623671507693,4.279282815771628,4,"[""Basic"", ""Advanced""]","[""R306"", ""R179"", ""R400""]",0.44222820150130293,12
Munyemana Innocent,munyemana.innocent486@outlook.com,DL00013,129,19677.77,0.9783610119529732,0.702010549943185,3.769144452039284,0.7506386155728461,"{""highway"": 52.243667426240854, ""city"": 29.97299601546166, ""residential"": 36.6491835569157}",8,35,0.9894981881726123,0.755022201631505,4.036531113230369,1,"[""Basic"", ""Advanced"", ""Hazardous Materials""]","[""R162"", ""R147"", ""R393""]",0.2024694617920389,13
Kamanzi Thierry,kamanzi.thierry304@yahoo.com,DL00014,139,16098.07,0.8194740833323169,0.9215501950137359,2.7987157752290024,0.7086573207075514,"{""highway"": 55.48596773057234, ""city"": 26.372899976244973, ""residential"": 30.932293560566087}",24,4,0.7981860269671139,0.819673065617566,3.8547925093647786,4,"[""Basic"", ""Hazardous Materials""]","[""R238"", ""R500"", ""R466""]",0.22938628755494755,14
Nkurunziza Patrick,nkurunziza.patrick80@gov.rw,DL00015,147,12789.14,0.9149008700152305,0.8699043120327091,10.289184599662395,0.9684241735137568,"{""highway"": 67.20444366834695, ""city"": 29.601488043338513, ""residential"": 31.73815563555713}",39,2,0.8569340140249773,0.9420465757521672,3.5359529015405773,3,"[""Basic"", ""Advanced""]","[""R112"", ""R093"", ""R326""]",0.29656391093739476,15
Nsengimana Aimable,nsengimana.aimable537@outlook.com,DL00016,181,5491.54,0.5114036393074889,0.702787988282464,1.5313853628682244,0.8470016554039616,"{""highway"": 63.87387655183586, ""city"": 27.311473275248552, ""residential"": 36.481584102186545}",0,13,0.6841602789553991,0.782315540333122,4.397458095252101,2,"[""Basic"", ""Advanced""]","[""R352"", ""R404"", ""R398""]",0.4948097559893313,16
Nyiraneza Emmanuel,nyiraneza.emmanuel387@outlook.com,DL00017,113,17039.09,0.7328850066367404,0.8975492174933796,6.7205824797856275,0.9478797519328558,"{""highway"": 54.828218284398446, ""city"": 20.150320676902645, ""residential"": 45.26531819075549}",31,20,0.9051419084040122,0.9811970528142553,4.843964164129546,2,"[""Basic"", ""Advanced"", ""Hazardous Materials""]","[""R204"", ""R227"", ""R454""]",0.14906513361367715,17
Munyemana Theogene,munyemana.theogene91@gmail.com,DL00018,194,8254.85,0.7708999362834699,0.9113117499799037,0.6711769696141003,0.9586844373633441,"{""highway"": 68.20651326395644, ""city"": 28.3623621424168, ""residential"": 42.81428358793061}",41,38,0.8397490476624415,0.829366952860433,3.7195771868349707,4,"[""Basic""]","[""R245"", ""R083"", ""R491""]",0.35261419907670877,18
