name,email,license_number,total_trips,total_earnings,safety_score,on_time_delivery_rate,experience_years,rest_compliance_rate,avg_speed_profile,harsh_braking_events,harsh_acceleration_events,fuel_efficiency_score,route_adherence,customer_satisfaction,training_level,certifications,preferred_routes,fatigue_score,id
Mugisha John,driverc1c337ca@example.com,DL00001,68,14323.38,0.8707060506597878,0.7571215406791453,10.438812060285448,0.7345658620044178,"{""highway"": 61.997514821695496, ""city"": 21.09507040975772, ""residential"": 22.97064201224728}",19,12,0.7442324964086057,0.8788122245602229,4.918209788072513,2,['Basic'],"[""R010"", ""R434"", ""R171""]",0.3624673320745727,1
Munyaneza Jacqueline,driverac74cf37@example.com,DL00002,44,6214.09,0.5031989242153246,0.748119558602805,15.852871862680454,0.9275383757951963,"{""highway"": 61.8733117726224, ""city"": 20.489482653217053, ""residential"": 23.75954167610411}",31,39,0.6679432346713111,0.8335457853563122,4.554745851198086,3,"['Basic', 'Advanced']","[""R290"", ""R387"", ""R003""]",0.15253589114430952,2
Iyamuremye Eric,driver9925fbc0@example.com,DL00003,65,24594.21,0.8663274074971323,0.7399986932594028,10.328023710263796,0.7866089875320127,"{""highway"": 60.08923658428319, ""city"": 30.350854951322788, ""residential"": 20.960375484377217}",18,40,0.9846576552032416,0.9886611864380721,4.371508490453736,4,['Basic'],"[""R336"", ""R444"", ""R165""]",0.2919731121209139,3
Mukamana Claude,driver5848a461@example.com,DL00004,61,38736.53,0.9518738497103751,0.7442718156406404,14.788767566507522,0.8889553518893221,"{""highway"": 66.87666293594683, ""city"": 29.546248599832946, ""residential"": 19.276325613507886}",31,13,0.6024331327121221,0.8835106018942407,3.875981383307839,5,['Basic'],"[""R286"", ""R098"", ""R069""]",0.14422261637365788,4
Niyonsaba Claude,driverdd8c9e69@example.com,DL00005,179,26232.40,0.9018462242882312,0.8758207388201186,7.467675515327314,0.7650978121579528,"{""highway"": 68.56590455958803, ""city"": 33.149594297417075, ""residential"": 17.84616094821651}",10,16,0.6277131184831615,0.943807061498888,3.2245880099486772,5,"['Basic', 'Advanced']","[""R097"", ""R484"", ""R347""]",0.2975288692298657,5
Mugisha Anitha,driverc4154f67@example.com,DL00006,142,25699.47,0.8091058952175456,0.9764249975457149,4.7132863092281925,0.7375739569939255,"{""highway"": 69.60345998481458, ""city"": 24.099713483369168, ""residential"": 15.433153062436164}",1,11,0.8260840780452121,0.8488372635649105,4.365699280617127,2,"['Basic', 'Advanced']","[""R378"", ""R466"", ""R309""]",0.38231112084299357,6
Uwase Jean,driver1e4c8a02@example.com,DL00007,97,25291.70,0.7786156118730316,0.9895161438172828,18.065923182175496,0.7730667942667588,"{""highway"": 64.65300236182637, ""city"": 34.83416033295558, ""residential"": 16.391012177850044}",48,28,0.7643872866448262,0.9410376711082766,4.3293059819094015,1,"['Basic', 'Advanced']","[""R390"", ""R034"", ""R189""]",0.35759838570293445,7
Niyonsaba John,driver15aafb07@example.com,DL00008,132,16544.73,0.5202797655911817,0.9730230293562065,13.035111461128624,0.8194162148778333,"{""highway"": 64.85756442285233, ""city"": 24.144367939680123, ""residential"": 23.526725137192052}",46,26,0.8662140133033236,0.7709308231316891,4.112264451531051,3,"['Basic', 'Advanced']","[""R126"", ""R107"", ""R043""]",0.12031455975728567,8
Niyonsaba Odette,driver2591ea0f@example.com,DL00009,154,33039.28,0.5247331376865021,0.9963186428327591,19.76180758048478,0.8921772948189428,"{""highway"": 60.7395942197073, ""city"": 23.88385865274915, ""residential"": 24.41583718558316}",45,13,0.9497668451846015,0.71572430108435,4.0906746788417525,5,"['Basic', 'Advanced']","[""R269"", ""R146"", ""R093""]",0.3622476429812367,9
Mukamana Anitha,driver0c0d4242@example.com,DL00010,106,30655.09,0.9048701385082505,0.8510183897287849,10.85548522151768,0.9647938919076018,"{""highway"": 60.987372789853815, ""city"": 24.07467517043832, ""residential"": 19.638763563471628}",50,5,0.6518211591795934,0.7958242913083875,3.4446654349213865,3,['Basic'],"[""R285"", ""R498"", ""R233""]",0.33139379718394,10
Uwase Claude,driverf2af9ea2@example.com,DL00011,103,31198.57,0.857595860536853,0.924592480836165,5.754725373952568,0.9711446784248549,"{""highway"": 56.53355063574678, ""city"": 34.32072583765288, ""residential"": 18.06020727247546}",25,32,0.7814874848757327,0.7417063682347877,4.077953334189543,5,"['Basic', 'Advanced']","[""R096"", ""R140"", ""R085""]",0.4606127992178194,11
Kamanzi Odette,drivere4f50f87@example.com,DL00012,21,14861.17,0.8174953708550091,0.8196005954924638,1.8351310197600132,0.841296202847297,"{""highway"": 55.24494249751988, ""city"": 33.039990466777574, ""residential"": 16.692255682595437}",36,15,0.7412897702119451,0.7862461699476556,4.016740753241661,3,['Basic'],"[""R436"", ""R479"", ""R005""]",0.42413992050424343,12
Ndagijimana Emmanuel,driver8c3867f7@example.com,DL00013,100,34658.02,0.5240798618892933,0.8212696019033164,16.208816451201137,0.9896087386217034,"{""highway"": 63.275005435714164, ""city"": 27.16926928159494, ""residential"": 23.128127032056938}",6,7,0.656334140519454,0.9335949214253915,4.117462026859717,1,['Basic'],"[""R098"", ""R471"", ""R195""]",0.16754729044154004,13
Kamanzi Jean,driver3aa0cc4d@example.com,DL00014,139,28240.14,0.5822050954348053,0.999668566597336,18.59650198632223,0.8722412300367087,"{""highway"": 73.67972237567596, ""city"": 20.17807475682057, ""residential"": 18.82844738609627}",47,32,0.6020081102720195,0.9331639825315675,4.707772290297958,3,['Basic'],"[""R019"", ""R070"", ""R283""]",0.1578335055560623,14
Mukamana Eric,driver660f4743@example.com,DL00015,106,4291.82,0.8361189069279356,0.7400331540381926,12.804940736426978,0.7114682426495008,"{""highway"": 57.1115700913899, ""city"": 28.324589487116185, ""residential"": 24.457381944659517}",17,7,0.6023924149693909,0.8212114930704985,3.032018470508645,2,['Basic'],"[""R258"", ""R022"", ""R238""]",0.3679460792741419,15
Iyamuremye Claude,driver15d5e8c2@example.com,DL00016,102,12081.26,0.694243280587788,0.7974358015115685,16.351736353822297,0.8138606701051252,"{""highway"": 58.7408731355552, ""city"": 31.297839955195677, ""residential"": 20.281845447114577}",26,16,0.8667732116993061,0.7143124174873077,4.3471784208823205,3,"['Basic', 'Advanced']","[""R211"", ""R161"", ""R157""]",0.2744511653397279,16
Niyonsaba Jean,driver788ef8eb@example.com,DL00017,196,22689.92,0.9868271523478471,0.9140353684091309,1.5592199234772521,0.7942797435315883,"{""highway"": 71.46118464455975, ""city"": 34.12021424047049, ""residential"": 15.273166711724908}",11,33,0.7703667322839207,0.7777647879484588,3.0040690290457057,5,['Basic'],"[""R282"", ""R325"", ""R292""]",0.4066965746500547,17
Munyaneza Eric,driver73a729a6@example.com,DL00018,96,3157.68,0.8510085433225467,0.7637195475528336,18.207178817365246,0.7884309843181156,"{""highway"": 67.69192123595894, ""city"": 23.36425504857824, ""residential"": 17.74092010844851}",46,32,0.7828157411887324,0.9457213460044753,4.959456104068352,4,"['Basic', 'Advanced']","[""R161"", ""R070"", ""R296""]",0.30792436578760285,18
Kamanzi Thierry,driver8e8fe66e@example.com,DL00019,94,31188.49,0.687043588044467,0.7782617223360652,4.560820756627731,0.8801165533049247,"{""highway"": 70.01551843523619, ""city"": 33.34053325356457, ""residential"": 19.24514386978521}",44,18,0.8056031763053536,0.9686184484792862,4.4605684024720755,1,['Basic'],"[""R195"", ""R360"", ""R491""]",0.4816579667387745,19
Rwigema Anitha,driverb1577d7c@example.com,DL00020,73,42123.75,0.6339529832457114,0.7139544933154596,9.36090201289318,0.7697924345846002,"{""highway"": 59.314225068785554, ""city"": 29.390453087968083, ""residential"": 16.680310136297003}",46,20,0.6588847563759859,0.8331723402623306,4.777603992318325,1,['Basic'],"[""R296"", ""R180"", ""R206""]",0.4326561931125761,20
Mugisha Thierry,driverc00395a5@example.com,DL00021,113,38243.65,0.7068385657744973,0.7868815249146196,17.075432518090455,0.9367425585483855,"{""highway"": 69.91058006058857, ""city"": 25.262926265615658, ""residential"": 19.636486867409836}",4,4,0.6808673291896459,0.7368377127180965,3.8464431752967565,4,['Basic'],"[""R162"", ""R366"", ""R341""]",0.1491703904644918,21
Iyamuremye Thierry,driver1aa303d5@example.com,DL00022,106,35869.62,0.8182839974637621,0.8923258988404472,9.460822244022241,0.701183455952275,"{""highway"": 71.81419071015503, ""city"": 23.267167291890733, ""residential"": 21.878096298882177}",7,40,0.9768343880670554,0.7510826074493554,3.275263276543849,5,['Basic'],"[""R218"", ""R140"", ""R374""]",0.47251948685972334,22
Munyaneza Eric,driver64f99374@example.com,DL00023,125,32426.58,0.6564184818433338,0.8683319656899785,9.458528900647703,0.8664583828096496,"{""highway"": 55.07921272920203, ""city"": 21.084502514320157, ""residential"": 21.336580330641564}",11,25,0.9728382059017021,0.735414349955686,4.467971754540553,3,"['Basic', 'Advanced']","[""R049"", ""R330"", ""R348""]",0.2946728648463516,23
