route_code,cost,start_location,end_location,estimated_travel_time,distance,avg_traffic_density,avg_fuel_consumption,historical_delays,weather_risk_factor,time_of_day_efficiency,day_of_week_efficiency,seasonal_factors,complexity_score,historical_incidents,id_x,vehicle_id,driver_id,route_id,start_time,end_time,actual_duration,expected_duration,start_fuel_level,end_fuel_level,fuel_consumed,actual_distance,planned_distance,average_speed,max_speed,idle_time,weather_conditions,traffic_conditions,on_time_status,cargo_weight,cargo_type,maintenance_issues_reported,driver_fatigue_score,id_y,name,email,license_number,total_trips_driver,total_earnings,safety_score,on_time_delivery_rate,experience_years,rest_compliance_rate,avg_speed_profile,harsh_braking_events,harsh_acceleration_events,fuel_efficiency_score,route_adherence,customer_satisfaction,training_level,certifications,preferred_routes,fatigue_score,id_merged,license_plate,model,capacity,category,status,total_trips_vehicle,total_distance_travelled,manufacture_year,fuel_efficiency,maintenance_score,last_maintenance_date,maintenance_frequency,engine_hours,idle_time_percentage,avg_speed,emissions_data,tire_wear_rate,breakdown_frequency,sensor_data_json,operational_cost_per_mile,driver_id_vehicles,route_id_vehicles,id_vehicles
R016,326.56842822814,Butare,Gisenyi,10,484.94902722755216,0.8786484093028707,11.143780195470258,39.14732528158039,0.1783298528109978,"{""0"": 0.7826480398944711, ""1"": 0.8449761959333881, ""2"": 0.7357705664500462, ""3"": 0.7067684206585636, ""4"": 0.7279531915826741, ""5"": 0.9173648845086755, ""6"": 0.7554148297737389, ""7"": 0.7343750225949168, ""8"": 0.8645951102016006, ""9"": 0.9147160947493919, ""10"": 0.8885547600398375, ""11"": 0.9923038327173275, ""12"": 0.7596637680802036, ""13"": 0.8218040869904224, ""14"": 0.8746616864969096, ""15"": 0.8631994366869347, ""16"": 0.8495963689997991, ""17"": 0.7120766777475858, ""18"": 0.7322669862274378, ""19"": 0.7794151542294008, ""20"": 0.8290330932816883, ""21"": 0.7896229494480694, ""22"": 0.7590052157849433, ""23"": 0.7103089999607648}","{""0"": 0.972522278364993, ""1"": 0.8060491302118207, ""2"": 0.9776352784257599, ""3"": 0.9264151542719238, ""4"": 0.8399126657435996, ""5"": 0.8074104644794011, ""6"": 0.8618354895213018}","{""winter"": 0.8287516713011356, ""spring"": 0.9906837936509499, ""summer"": 0.9019738872782657, ""fall"": 0.8432223902198204}",4.220088615967047,1,16,376,214,16,2024-07-20 07:11:06.818730,2024-07-20 18:48:36.675290,697.4976093350062,600.0,63.99618209864907,47.45452713213791,16.54165496651116,514.9019956476999,484.94902722755216,44.29279659942695,53.5061653130861,134.9673236274109,Clear,Heavy,False,4407.6093072534,Fragile,,0.3203143130782327,35,Mugisha John,driver7509375d@example.com,DL00214,94,23826.99,0.6314615356480899,0.8132493906605529,18.59579074036296,0.9049655597941788,"{""highway"": 63.61653696335114, ""city"": 24.68291862337521, ""residential"": 17.299202548633318}",37,15,0.775836403650856,0.7414343913160685,3.009284368804539,2,"['Basic', 'Advanced']","[""R442"", ""R115"", ""R315""]",0.1953172347400551,214,VEH0376,Toyota Land Cruiser,47,Coaster,inactive,226,99518.40531390984,2017,9.08517649416344,0.8530116536545169,2025-02-14,104,2237.78997172622,0.2063045149635278,58.79898131993584,"{""co2"": 154.75406912127227, ""nox"": 28.486450170026018}",0.0051960580256227,0.004721116941664,"{""engine_temp"": 197.8509188505155, ""oil_pressure"": 31.758948437238878, ""battery"": 13.439208318507594}",1.9953369618153445,214.0,,376
R017,102.39953583048522,Kayonza,Kayonza,1,432.300916477898,0.7553207955279285,14.756229554285746,7.583382770798175,0.4358531433851872,"{""0"": 0.7698965861995146, ""1"": 0.8478632721902266, ""2"": 0.9953961677307566, ""3"": 0.8718709905625873, ""4"": 0.9624932487787696, ""5"": 0.8637752232390973, ""6"": 0.872547749456427, ""7"": 0.9646503798190369, ""8"": 0.9462340221904156, ""9"": 0.8257290459859604, ""10"": 0.7437575934947714, ""11"": 0.9082387627179483, ""12"": 0.8591211571861723, ""13"": 0.9861141103859479, ""14"": 0.7542462779124225, ""15"": 0.9558250354100226, ""16"": 0.7058121101647903, ""17"": 0.8468953446472574, ""18"": 0.8353302952984102, ""19"": 0.9620834699894446, ""20"": 0.8795974037395801, ""21"": 0.75303245154597, ""22"": 0.8768829454884711, ""23"": 0.8331949239807869}","{""0"": 0.8137650481684847, ""1"": 0.8303649700749512, ""2"": 0.8665299176288214, ""3"": 0.9323342338183086, ""4"": 0.9616631976876482, ""5"": 0.8688411561727968, ""6"": 0.9208003553664335}","{""winter"": 0.7615023173312379, ""spring"": 0.8357596173649399, ""summer"": 0.9252152343431528, ""fall"": 0.8154095984642288}",5.677840222478555,7,17,641,191,17,2024-11-19 19:12:20.818730,2024-11-19 20:02:03.356601,49.70896451307641,60.0,78.5953783367655,67.72745343203462,10.867924904730884,422.5587214805432,432.300916477898,510.0392562424653,736.7341509902918,9.6941545355958,Clear,Light,True,5249.734013556168,Fragile,,0.4055049463064759,89,Rwigema Odette,driver861b39d7@example.com,DL00191,74,4268.21,0.7550077194494773,0.72632321637515,19.706752856519195,0.7639733249123467,"{""highway"": 59.84797462739077, ""city"": 20.85287284999567, ""residential"": 16.27767003345747}",16,40,0.6612681719856405,0.8016057307806118,3.8565354120907136,3,"['Basic', 'Advanced']","[""R046"", ""R360"", ""R459""]",0.1124980457829263,191,VEH0641,Nissan Patrol,99,Coach,maintenance,141,13477.317623157436,2021,14.489666295621085,0.6020336147129736,2025-03-14,45,1576.5737280395624,0.0764994765634688,33.51938842215997,"{""co2"": 207.4067685470776, ""nox"": 18.698130974468647}",0.0080748594768227,0.0197727029942003,"{""engine_temp"": 197.15600245429712, ""oil_pressure"": 45.737347204892984, ""battery"": 13.143847249575877}",0.9304850297437606,191.0,192.0,641
R021,247.2542302017612,Kirehe,Gicumbi,2,290.4296490931822,0.4067775683353209,28.942904452569977,34.71841851206996,0.6310589291549371,"{""0"": 0.812008523511277, ""1"": 0.8807034578851529, ""2"": 0.924126066556483, ""3"": 0.7743578333553061, ""4"": 0.9947302649444656, ""5"": 0.887372640348643, ""6"": 0.7771434773018545, ""7"": 0.9602681232611587, ""8"": 0.9565067810942434, ""9"": 0.9479128671168396, ""10"": 0.7541352950888338, ""11"": 0.9981321078484983, ""12"": 0.8403041968182343, ""13"": 0.7230499717766287, ""14"": 0.8304070309347169, ""15"": 0.9657284466599361, ""16"": 0.808586605880587, ""17"": 0.8242809622457423, ""18"": 0.7910102868880073, ""19"": 0.8532322756546615, ""20"": 0.77793948489028, ""21"": 0.772053615189194, ""22"": 0.8281048754592046, ""23"": 0.7699509031328388}","{""0"": 0.8039057210600298, ""1"": 0.9225011807249406, ""2"": 0.9018888309314538, ""3"": 0.9658891604916613, ""4"": 0.8200453907085254, ""5"": 0.8321761859181301, ""6"": 0.9778755496141727}","{""winter"": 0.8560581277587426, ""spring"": 0.9662036441274169, ""summer"": 0.999550976872695, ""fall"": 0.8580139959773115}",2.9454695912035067,9,21,692,79,21,2025-03-22 17:47:16.818730,2025-03-22 19:44:53.242990,117.60707100163296,120.0,90.43886347874675,51.3179548286933,39.12090865005345,316.1854690885506,290.4296490931822,161.30941773942843,224.2751309393796,19.637891677166078,Rain,Heavy,True,6458.577359974306,General,,0.2090074848272061,73,Rwigema Anitha,driverd56b1bc0@example.com,DL00079,159,4964.11,0.9147545694420944,0.7240317588920236,7.513223757998526,0.972369598455584,"{""highway"": 56.68171115727515, ""city"": 25.720506308959486, ""residential"": 22.940406103289668}",48,37,0.7594887916714642,0.7778016070463133,4.319766117442439,4,"['Basic', 'Advanced']","[""R248"", ""R411"", ""R474""]",0.2685351330664755,79,VEH0692,Toyota Hilux,45,Coaster,maintenance,286,37068.26981385107,2018,7.422647269619267,0.8030089561926224,2024-10-30,60,9014.313617276186,0.2130169101893483,47.44718382186792,"{""co2"": 127.46267643288797, ""nox"": 12.08502435286725}",0.0037615735512615,0.0200722959790071,"{""engine_temp"": 209.7949525598591, ""oil_pressure"": 65.24524815975056, ""battery"": 13.23916944982239}",0.9894334772826834,79.0,317.0,692
R034,471.4960573348428,Karongi,Musanze,9,332.4536505493206,0.2093532165589749,18.433385835900893,52.23281108850885,0.7019531580818118,"{""0"": 0.8896805781759849, ""1"": 0.8615139790017223, ""2"": 0.7915184813490836, ""3"": 0.7749991077193866, ""4"": 0.8997075923844291, ""5"": 0.7135970416182338, ""6"": 0.8521455660770219, ""7"": 0.7656093276824579, ""8"": 0.8144292450005172, ""9"": 0.7282524099150732, ""10"": 0.7189754855770312, ""11"": 0.7921787124660424, ""12"": 0.8442054163306025, ""13"": 0.8410621242925536, ""14"": 0.810350541823927, ""15"": 0.9425254468192347, ""16"": 0.7079937694470556, ""17"": 0.8874136195533648, ""18"": 0.7455673333634817, ""19"": 0.9043401552248913, ""20"": 0.9441311525517014, ""21"": 0.9269373062459101, ""22"": 0.7963655854747331, ""23"": 0.8032648520464}","{""0"": 0.9795790939057846, ""1"": 0.9728015122004015, ""2"": 0.8917692850261205, ""3"": 0.8782683542156409, ""4"": 0.8739312243183883, ""5"": 0.9314787898626476, ""6"": 0.874271831527395}","{""winter"": 0.7742268071039307, ""spring"": 0.8155745642571904, ""summer"": 0.9828303436822374, ""fall"": 0.9477452530100303}",7.631242563350248,1,34,557,905,34,2024-08-22 18:47:50.818730,2024-08-23 02:20:26.729292,452.5985093616857,540.0,67.01602890648884,31.856965291796342,35.1590636146925,339.2273655290652,332.4536505493206,44.97063404041987,56.54932340809789,69.25245032823968,Rain,Moderate,True,2507.5836449035573,Fragile,,0.4526453789299581,37,Kamanzi Odette,driver26b736f5@example.com,DL00905,108,26571.05,0.8372726245611862,0.7753273469095,16.686997493274028,0.7445618693781622,"{""highway"": 71.20559438549698, ""city"": 29.138939828635003, ""residential"": 19.02655248238132}",12,3,0.7429364013654988,0.7925137243429078,4.848664139806349,4,"['Basic', 'Advanced']","[""R054"", ""R083"", ""R410""]",0.1295939216033643,905,VEH0557,Toyota Hilux,42,Coach,maintenance,215,53357.15572923215,2017,19.439783098225934,0.958359966877418,2025-01-29,101,7320.509988548524,0.2326445689523098,41.11597037583367,"{""co2"": 179.39755315708118, ""nox"": 47.49586076980251}",0.0042912170793992,0.0204832909928395,"{""engine_temp"": 206.97382178407395, ""oil_pressure"": 35.98777621744961, ""battery"": 12.315693666190809}",1.8021241492989477,905.0,,557
R050,268.713255430128,Musanze,Kayonza,3,71.14293751078043,0.890387115014613,12.400336952778844,35.68566497901906,0.7382235588458582,"{""0"": 0.8611666703792691, ""1"": 0.7490280069412427, ""2"": 0.7637285033732513, ""3"": 0.8876232228355893, ""4"": 0.9477254859742396, ""5"": 0.9954790227817059, ""6"": 0.9327222272369006, ""7"": 0.7761119543839397, ""8"": 0.7531441142989332, ""9"": 0.9349160587712666, ""10"": 0.9591015447151999, ""11"": 0.772114333889971, ""12"": 0.8209682827893421, ""13"": 0.8825100357185045, ""14"": 0.9580061872232669, ""15"": 0.8809242238131272, ""16"": 0.7559772034970851, ""17"": 0.7641931165834258, ""18"": 0.9413847211677329, ""19"": 0.7563698214888526, ""20"": 0.8620168088890976, ""21"": 0.7531024504964164, ""22"": 0.8150139615455585, ""23"": 0.9820385711041095}","{""0"": 0.9949120645522382, ""1"": 0.8474286890709821, ""2"": 0.8452433807147987, ""3"": 0.8243993589939257, ""4"": 0.9569304508233749, ""5"": 0.9747133675288483, ""6"": 0.9056876465569047}","{""winter"": 0.739820707497011, ""spring"": 0.8930305044477928, ""summer"": 0.9941225042180452, ""fall"": 0.9242483420531218}",6.996742904286121,12,50,922,564,50,2024-11-07 07:13:43.818730,2024-11-07 10:26:10.307809,192.44148465678268,180.0,87.4929345782622,51.90540572966077,35.58752884860142,77.51369750413681,71.14293751078043,24.167459830934582,28.51060395496687,35.024443899318385,Fog,Moderate,True,2979.827745831084,General,,0.6022199574165353,85,Umuhoza John,driver47d5514d@example.com,DL00564,80,2762.82,0.7895020117285445,0.7775576788634555,11.20707967468137,0.7022800531240456,"{""highway"": 65.0997795659479, ""city"": 24.081394468342246, ""residential"": 16.07117179081294}",1,11,0.6341131571736282,0.9633419661014598,4.482092029654657,2,"['Basic', 'Advanced']","[""R427"", ""R016"", ""R349""]",0.396121946906951,564,VEH0922,Toyota Hilux,74,Coaster,inactive,279,43043.20074844339,2019,11.920272070661424,0.5454108677661603,2024-11-16,129,8510.957005818029,0.0669513341698179,41.92344561768902,"{""co2"": 210.47027848023615, ""nox"": 17.939879788692103}",0.0088757761698553,0.0449872383459942,"{""engine_temp"": 194.75910546756222, ""oil_pressure"": 33.87755098159518, ""battery"": 12.527800352634953}",1.618396376630007,564.0,331.0,922
R057,174.25284496689198,Kirehe,Huye,1,165.1087826035716,0.4168141800418179,22.634993453342798,17.647124935126314,0.574521508155824,"{""0"": 0.761608996138539, ""1"": 0.8009455460574075, ""2"": 0.991277198753844, ""3"": 0.7308879341426181, ""4"": 0.8947899342742222, ""5"": 0.9398754770570392, ""6"": 0.7848504665955415, ""7"": 0.7749943291923727, ""8"": 0.9031836143508077, ""9"": 0.9038812979501729, ""10"": 0.7503114055570012, ""11"": 0.9090842906838859, ""12"": 0.7362294788689154, ""13"": 0.7765241214058856, ""14"": 0.8012518336451788, ""15"": 0.7153995981678629, ""16"": 0.8132827309634464, ""17"": 0.9803293942845305, ""18"": 0.9780625160921935, ""19"": 0.8489428747718735, ""20"": 0.9826591371880882, ""21"": 0.7562336085301682, ""22"": 0.8417969254509992, ""23"": 0.8691972327638383}","{""0"": 0.8039759565810352, ""1"": 0.9407578982417176, ""2"": 0.9666528168672317, ""3"": 0.8998539146108013, ""4"": 0.8835025768638506, ""5"": 0.991191775517152, ""6"": 0.8001739791246321}","{""winter"": 0.8740358049213491, ""spring"": 0.8498835225701831, ""summer"": 0.9276033854493305, ""fall"": 0.8566583862496655}",7.669824115303853,5,57,989,395,57,2024-04-14 10:22:57.818730,2024-04-14 11:19:43.645810,56.76378466489671,60.0,90.19635237414548,67.40827777741563,22.78807459672984,178.25132397656745,165.1087826035716,188.41378357225696,255.21952775885904,10.111167358451674,Clear,Moderate,True,502.6630066639124,General,,0.422145044452287,76,Ndagijimana Anitha,driver303146ae@example.com,DL00395,21,29598.45,0.595910668732217,0.7151977950884708,6.051080493266263,0.9586660804350088,"{""highway"": 72.37368236742657, ""city"": 28.779561560368663, ""residential"": 19.807842600152604}",39,12,0.9515400711024684,0.7317892589759967,4.7570600762949775,2,['Basic'],"[""R429"", ""R235"", ""R097""]",0.346826614329525,395,VEH0989,Nissan Patrol,86,Cab,inactive,108,74128.91983866037,2011,17.3776643931606,0.6575627848077307,2025-01-23,103,19494.54748696818,0.0588760895044777,50.6335164340616,"{""co2"": 164.3034710555434, ""nox"": 29.567965145059645}",0.0028758033729075,0.0308671595097795,"{""engine_temp"": 215.77203706408704, ""oil_pressure"": 69.64366193047971, ""battery"": 12.900915447092226}",1.621848572678657,395.0,360.0,989
R058,376.8001784163695,Nyundo,Rubavu,10,477.854681615278,0.4505884567439444,10.357203554348324,40.51351781097048,0.2229404653124058,"{""0"": 0.8442656510747903, ""1"": 0.7112143479276248, ""2"": 0.8595300534184445, ""3"": 0.9940377000667031, ""4"": 0.9440709348017976, ""5"": 0.8242984975454134, ""6"": 0.990425873262718, ""7"": 0.899902185658099, ""8"": 0.7864938384278384, ""9"": 0.8866590451331782, ""10"": 0.7791574395474947, ""11"": 0.7791773327404288, ""12"": 0.8326848284857401, ""13"": 0.8197697276844575, ""14"": 0.7984080948549326, ""15"": 0.8735937350677202, ""16"": 0.8556327152963619, ""17"": 0.7180475547875904, ""18"": 0.9206301059796081, ""19"": 0.7395073163522682, ""20"": 0.9751525691917742, ""21"": 0.9253135654691674, ""22"": 0.9666392642156283, ""23"": 0.7316152346193378}","{""0"": 0.9014833654105304, ""1"": 0.8413246191907473, ""2"": 0.9718653488068203, ""3"": 0.8346721795278991, ""4"": 0.9882190096558527, ""5"": 0.8281576620914286, ""6"": 0.8542329967772656}","{""winter"": 0.7700761381811125, ""spring"": 0.8434568428542597, ""summer"": 0.9863771283283523, ""fall"": 0.9073006107406592}",2.1859929147800115,11,58,1011,157,58,2024-12-12 14:41:49.818730,2024-12-12 23:07:55.233614,506.090248068896,600.0,99.91189600450332,68.0126095806518,31.89928642385152,460.5345503266205,477.854681615278,54.599101889502464,77.8346000791179,59.85183520714342,Rain,Moderate,True,5598.790873553993,Perishable,,0.4502765431396394,61,Umuhoza Eric,driver5e5dd571@example.com,DL00157,104,28984.11,0.8964096306365543,0.8049306051837106,15.347558186867689,0.7670797104629297,"{""highway"": 73.0625935037335, ""city"": 30.566963068692417, ""residential"": 19.90576333484022}",46,9,0.7098318832609221,0.8182464015452476,4.499477550685858,4,['Basic'],"[""R373"", ""R253"", ""R045""]",0.1956281741970429,157,VEH1011,Isuzu D-Max,40,Coaster,inactive,278,44176.64068729453,2019,13.259452077482646,0.5466039619181591,2024-10-21,45,15164.335798365488,0.1788798474377612,50.88370170931182,"{""co2"": 250.05751026491401, ""nox"": 38.76132844582192}",0.0098196222987237,0.0431924808315746,"{""engine_temp"": 206.42299003618112, ""oil_pressure"": 33.403447252452125, ""battery"": 13.765845873719362}",1.8566634636291095,157.0,,1011
R059,302.40956715446646,Kirehe,Kibuye,1,212.53019634710756,0.1911380117109427,27.21320802785852,31.0710807728322,0.6386463104464204,"{""0"": 0.8729802978394923, ""1"": 0.9473851930290778, ""2"": 0.7085542159959558, ""3"": 0.7872264435373417, ""4"": 0.9240097655987225, ""5"": 0.790434402191618, ""6"": 0.9575991331634106, ""7"": 0.8201042873090895, ""8"": 0.704320696126981, ""9"": 0.7833458475906224, ""10"": 0.8437614539020358, ""11"": 0.9491623743495796, ""12"": 0.7159134490125297, ""13"": 0.8571350665589466, ""14"": 0.732328697139781, ""15"": 0.9077125324605682, ""16"": 0.7463444531036214, ""17"": 0.793969344928384, ""18"": 0.7895693919045409, ""19"": 0.9067653055866338, ""20"": 0.7255870864262408, ""21"": 0.7884401581487401, ""22"": 0.9777199713466835, ""23"": 0.72197496668644}","{""0"": 0.987014262666552, ""1"": 0.8647680399263055, ""2"": 0.8207001276645266, ""3"": 0.9952605895460522, ""4"": 0.9013184475220933, ""5"": 0.8299232039827102, ""6"": 0.966837827855383}","{""winter"": 0.7732214835935523, ""spring"": 0.9171752734053205, ""summer"": 0.9286849833442489, ""fall"": 0.8924819615318632}",2.662554277579777,2,59,80,846,59,2024-04-04 10:07:09.818730,2024-04-04 11:14:36.870561,67.45086384798662,60.0,70.43263418796334,30.605162532376426,39.82747165558692,202.6960064937705,212.53019634710756,180.3054801052671,209.4238333410937,10.997683065673913,Rain,Light,False,3655.506441178621,Fragile,,0.574159262487214,55,Mugisha John,driverc951d629@example.com,DL00846,98,36601.77,0.9985286169319658,0.7151595646887904,18.945064014692377,0.8577319766278565,"{""highway"": 61.82358032097162, ""city"": 30.06189412784441, ""residential"": 22.639398571446627}",48,32,0.773302913246112,0.9735105010396674,4.0248178127914365,4,"['Basic', 'Advanced']","[""R106"", ""R400"", ""R071""]",0.3990680987114662,846,VEH0080,YuTong,46,Cab,inactive,173,75349.4728065827,2014,17.544488489009943,0.5434024033010114,2024-10-30,136,2031.9286032675584,0.0701406337627435,42.704046108830326,"{""co2"": 129.55564809182005, ""nox"": 49.883017010105355}",0.0017732441390554,0.045020982286587,"{""engine_temp"": 185.5101276610106, ""oil_pressure"": 65.53312570159552, ""battery"": 13.569237183523299}",1.9348629416319925,846.0,,80
R060,288.80547939758515,Butare,Kamonyi,9,55.90946635450061,0.3303722079951663,20.28063098405853,30.583120265573758,0.2123446858063875,"{""0"": 0.7255764228754601, ""1"": 0.8531442149579919, ""2"": 0.7031158620232435, ""3"": 0.8996210767218947, ""4"": 0.9971885960473568, ""5"": 0.9932735086165514, ""6"": 0.8159779818816709, ""7"": 0.9454137910752548, ""8"": 0.7643561425558444, ""9"": 0.7558174126351889, ""10"": 0.7969092967632186, ""11"": 0.7224840521619517, ""12"": 0.8356648506287286, ""13"": 0.9734407188185425, ""14"": 0.8171759065100491, ""15"": 0.8300574699808874, ""16"": 0.880493123731985, ""17"": 0.9052838635547913, ""18"": 0.9315931676095153, ""19"": 0.9666959593656241, ""20"": 0.7060451283393355, ""21"": 0.951423113078018, ""22"": 0.9833890322387822, ""23"": 0.7787855141597855}","{""0"": 0.8963956680371894, ""1"": 0.9779180668427769, ""2"": 0.869887346084132, ""3"": 0.8468479740821815, ""4"": 0.8518331226811681, ""5"": 0.9427543679526043, ""6"": 0.8697075988605484}","{""winter"": 0.8952032641851267, ""spring"": 0.9651694270264601, ""summer"": 0.9727625178021024, ""fall"": 0.865223567064992}",3.409444119614398,5,60,1031,265,60,2025-02-28 11:59:08.818730,2025-02-28 21:07:06.048767,547.9538339494873,540.0,65.63029909924202,36.44373002709752,29.186569072144508,53.728415879419245,55.90946635450061,5.883168896783976,7.826748885357788,56.31304271182585,Rain,Heavy,True,2405.943286602624,Perishable,,0.2976267205671694,93,Iyamuremye Jacqueline,driver472e9588@example.com,DL00265,65,42250.83,0.9710365977738008,0.7018080783908203,15.456258469738076,0.9574735906297712,"{""highway"": 66.25160823921289, ""city"": 26.226671614976752, ""residential"": 16.64242176467237}",47,40,0.6508746376898494,0.9611994125854026,3.7247066286461994,3,['Basic'],"[""R171"", ""R294"", ""R378""]",0.3776628648208274,265,VEH1031,Toyota Land Cruiser,45,Cab,maintenance,105,99490.41720565454,2018,19.129415267585337,0.9408072115715392,2024-10-27,99,8862.0277658772,0.227617901990429,56.682734322844695,"{""co2"": 243.49921806876034, ""nox"": 13.802033404770455}",0.0032349715444977,0.0366640313491416,"{""engine_temp"": 186.21455525221876, ""oil_pressure"": 45.17645638187857, ""battery"": 13.346061134040903}",1.293847992005691,265.0,305.0,1031
R061,172.18079631253704,Kayonza,Kibuye,5,251.5766751478286,0.7368711211863667,19.22687129524454,31.284495746519973,0.6477040079035566,"{""0"": 0.8913011286514545, ""1"": 0.9123109735827323, ""2"": 0.7886973168130782, ""3"": 0.9738453241410393, ""4"": 0.9728882318566858, ""5"": 0.7742326376828019, ""6"": 0.823530053357567, ""7"": 0.9558259364725619, ""8"": 0.9646823501494162, ""9"": 0.8337843061128691, ""10"": 0.8812026708992677, ""11"": 0.7664054616896228, ""12"": 0.7468600532297932, ""13"": 0.8110330110913412, ""14"": 0.9066339402887581, ""15"": 0.7451735560471493, ""16"": 0.9065607219633773, ""17"": 0.7697680413642024, ""18"": 0.9804754792556429, ""19"": 0.7214927906328401, ""20"": 0.8212782361428739, ""21"": 0.9814951011931077, ""22"": 0.9292561289406688, ""23"": 0.7553636122651274}","{""0"": 0.9673038113032062, ""1"": 0.9923551563014207, ""2"": 0.8982747856053052, ""3"": 0.813173898193917, ""4"": 0.8270039982394974, ""5"": 0.9032369102776667, ""6"": 0.9692378373646112}","{""winter"": 0.7913763680905513, ""spring"": 0.8399282993216173, ""summer"": 0.920293428062335, ""fall"": 0.9248452789512991}",9.033987483422736,10,61,425,973,61,2024-06-16 10:58:26.818730,2024-06-16 16:11:38.009263,313.1865088903713,300.0,60.90362100823828,24.2786077130703,36.625013295167975,275.9202565056107,251.5766751478286,52.86056365899107,60.936307853362685,18.20087446594682,Fog,Light,True,6626.375774854932,General,,0.2919941093119811,69,Mukamana Jean,driverd2c11346@example.com,DL00973,113,24597.09,0.7822874703707646,0.7257367995381644,19.54328825458084,0.7786807857396812,"{""highway"": 69.59943182454182, ""city"": 32.910662302294746, ""residential"": 15.280940729819902}",45,7,0.9188996219777704,0.9183779626185596,4.112387964845143,4,"['Basic', 'Advanced']","[""R436"", ""R414"", ""R154""]",0.3636679915056883,973,VEH0425,YuTong,59,Coaster,maintenance,183,87858.87790130007,2012,5.709786992809866,0.5695454838526827,2024-10-13,94,11055.994580634324,0.277400654052452,50.23126964481571,"{""co2"": 150.75355836351287, ""nox"": 48.84732398740673}",0.0078512506866837,0.0479424515269309,"{""engine_temp"": 208.0699202220364, ""oil_pressure"": 40.75371529342668, ""battery"": 12.148358473868493}",1.1655341531626775,973.0,,425
